Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	MS	LNS	VelOn	Soz1
1	9			-1	-1	1	8	250	95	96	
2	9	Si4	B4	314	314	1	16	125	95	96	
3	9	Do5	C5	318	318	1	16	125	95	96	
4	9	Si4	B4	314	314	1	8	250	95	96	
5	9	Do5	C5	318	318	1	8	250	95	96	
6	9	Si4	B4	314	314	1	16	125	95	96	
7	9	La4	A4	305	305	3	16	375	95	96	
8	9	Si4	B4	314	314	1	8	250	95	96	
9	9	Do5	C5	318	318	1	8	250	95	96	
9.5	53										
10	9	Sol4	G4	296	296	1	16	125	95	96	
11	9	Do5	C5	318	318	3	16	375	95	96	
12	9	Si4	B4	314	314	1	8	250	95	96	
13	9	La4	A4	305	305	1	8	250	95	96	
14	9	Si4	B4	314	314	1	16	125	95	96	
15	9	Do5	C5	318	318	3	16	375	95	96	
16	9	Re5	D5	327	327	1	8	250	95	96	
17	9	Mi5	E5	336	336	1	8	250	95	96	
17.5	53										
18	9	Fa5#4	F5#4	344	344	1	16	125	95	96	
19	9	Sol5	G5	349	349	3	16	375	95	96	
20	9	Fa5#4	F5#4	344	344	1	8	250	95	96	
21	9	La5	A5	358	358	1	8	250	95	96	
22	9	La5	A5	358	358	1	16	125	95	96	
23	9	Sol5	G5	349	349	3	16	375	95	96	
24	9	Fa5	F5	340	340	1	8	250	95	96	
25	9	Mi5	E5	336	336	1	8	250	95	96	
25.5	53										
26	9	Re5	D5	327	327	1	16	125	95	96	
27	9	Mi5	E5	336	336	3	16	375	95	96	
28	9	Mi5	E5	336	336	1	8	250	95	96	
29	9	Do5	C5	318	318	1	8	250	95	96	
30	9	Re5	D5	327	327	1	16	125	95	96	
31	9	Do5	C5	318	318	3	16	375	95	96	
32	9	Re5	D5	327	327	1	8	250	95	96	
33	9	Mi5	E5	336	336	1	8	250	95	96	
33.5	53										
34	9	Do5	C5	318	318	1	16	125	95	96	
35	9	Do5	C5	318	318	3	16	375	95	96	
36	9	Si4	B4	314	314	1	8	250	95	96	
37	9	La4	A4	305	305	1	8	250	95	96	
38	9	Sol4#4	G4#4	300	300	1	16	125	95	96	
39	9	La4	A4	305	305	3	16	375	95	96	
40	9	Si4	B4	314	314	1	8	250	95	96	
41	9	La4	A4	305	305	1	8	250	95	96	
41.5	53										
42	9			-1	-1	1	8	250	95	96	
43	9	Si4	B4	314	314	1	16	125	95	96	
44	9	Do5	C5	318	318	1	16	125	95	96	
45	9	Si4	B4	314	314	1	8	250	95	96	
46	9	Do5	C5	318	318	1	8	250	95	96	
47	9	Re5	D5	327	327	1	16	125	95	96	
48	9	Mi5b4	E5b4	332	332	1	8	250	95	96	
49	9	Re5	D5	327	327	1	16	125	95	96	
50	9	Do5	C5	318	318	1	16	125	95	96	
51	9	Si4	B4	314	314	1	16	125	95	96	
52	9	Do5	C5	318	318	1	8	250	95	96	
52.5	53										
53	9	Do5	C5	318	318	1	16	125	95	96	
54	9	Do5	C5	318	318	1	16	125	95	96	
55	9	Si4	B4	314	314	1	8	250	95	96	
56	9	La4	A4	305	305	1	8	250	95	96	
57	9	Sol4#4	G4#4	300	300	1	16	125	95	96	
58	9	La4	A4	305	305	3	16	375	95	96	
59	9	Si4	B4	314	314	1	8	250	95	96	
60	9	La4	A4	305	305	1	8	250	95	96	
60.5	53										
61	9			-1	-1	1	8	250	95	96	
62	9	Si4	B4	314	314	1	16	125	95	96	
63	9	Do5	C5	318	318	1	16	125	95	96	
64	9	Si4	B4	314	314	1	8	250	95	96	
65	9	Do5	C5	318	318	1	8	250	95	96	
66	9	Re5	D5	327	327	1	16	125	95	96	
67	9	Mi5b4	E5b4	332	332	1	8	250	95	96	
68	9	Re5	D5	327	327	1	16	125	95	96	
69	9	Do5	C5	318	318	1	16	125	95	96	
70	9	Si4	B4	314	314	1	16	125	95	96	
71	9	Do5	C5	318	318	1	8	250	95	96	
71.5	53										
72	9	Do5	C5	318	318	1	16	125	95	96	
73	9	Do5	C5	318	318	1	16	125	95	96	
74	9	Si4	B4	314	314	1	8	250	95	96	
75	9	La4	A4	305	305	1	8	250	95	96	
76	9	Sol4#4	G4#4	300	300	1	16	125	95	96	
77	9	La4	A4	305	305	3	16	375	95	96	
78	9	Si4	B4	314	314	1	8	250	95	96	
79	9	La4	A4	305	305	1	8	250	95	96	
79.5	53										
80	9	Re5	D5	327	327	1	16	125	99	96	
81	9	Mi5	E5	336	336	3	16	375	99	96	
82	9	Sol5	G5	349	349	1	8	250	50	96	
83	9	Mi5	E5	336	336	1	8	250	99	96	
84	9	Re5	D5	327	327	1	16	125	99	96	
85	9	Do5	C5	318	318	3	16	375	95	96	
86	9	Re5	D5	327	327	1	8	250	95	96	
87	9	Mi5	E5	336	336	1	8	250	95	96	
87.5	53										
88	9			-1	-1	1	8	250	95	96	
89	9	Do5	C5	318	318	1	16	125	95	96	
90	9	Do5	C5	318	318	1	16	125	95	96	
91	9	Do5	C5	318	318	1	8	250	99	96	
92	9	Si4	B4	314	314	1	8	250	95	96	
93	9	Si4	B4	314	314	1	16	125	95	96	
94	9	La4	A4	305	305	3	16	375	95	96	
95	9	Si4	B4	314	314	1	8	250	95	96	
96	9	Do5	C5	318	318	1	8	250	95	96	
96.5	53										
97	9	Sol5	G5	349	349	1	16	125	95	96	
98	9	Sol5	G5	349	349	3	16	375	95	96	
99	9	La5	A5	358	358	1	16	125	95	96	
100	9	La5	A5	358	358	3	16	375	95	96	
100.5	53										
