Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Do5	C5	318	318	1	4	588	95	96	Ey 	0.1666667
2	9	Do5	C5	318	318	1	4	588	95	96	bâd_	0.3333333
3	9	Do5	C5	318	318	1	4	588	95	96	ý 	0.5
4	9	Do5	C5	318	318	1	4	588	95	96	sa	0.6666667
5	9	Do5	C5	318	318	1	2	1176	95	96	bâ 	1
6	53			0	0	0	0	0	0	0		1
7	9	Sol4	G4	296	296	1	2	1176	95	96	yâr 	1.333333
8	9	La4	A4	305	305	1	4	588	95	96	i	1.5
9	9	Si4b2	B4b1	312	313	1	4	588	95	96	le 	1.666667
10	9	Do5	C5	318	318	1	2	1176	95	96	vus	2
11	53			0	0	0	0	0	0	0		2
12	9	Do5	C5	318	318	1	4	588	99	96	lat 	2.166667
13	9	Re5b3	D5b4	324	323	1	4	588	95	96		2.333333
14	9	Re5b3	D5b4	324	323	1	4	588	95	96	ne 	2.5
15	9	Re5b3	D5b4	324	323	1	8	294	99	96	za	2.583333
16	9	Do5	C5	318	318	1	8	294	95	96		2.666667
17	9	Do5	C5	318	318	1	2	1176	95	96	man	3
18	53			0	0	0	0	0	0	0		3
19	9	Si4b2	B4b1	312	313	1	4	588	99	96	dýr  	3.166667
20	9	Do5	C5	318	318	1	4	588	99	96		3.333333
21	9	Si4b2	B4b1	312	313	1	4	588	99	96		3.5
22	9	La4	A4	305	305	3	4	1765	95	96		4
23	53			0	0	0	0	0	0	0		4
24	9	La4	A4	305	305	3	8	882	99	96	vus	4.25
25	9	Si4b2	B4b1	312	313	1	8	294	95	96		4.333333
26	9	Do5	C5	318	318	1	1	2352	99	96	lat 	5
27	9	Re5b3	D5b4	324	323	1	4	588	99	96		5.166667
28	9	Mi5	E5	336	336	1	4	588	99	96		5.333333
29	9	Mi5	E5	336	336	1	8	294	99	96		5.416667
30	9	Fa5	F5	340	340	1	8	294	99	96		5.5
31	9	Mi5	E5	336	336	1	8	294	99	96		5.583333
32	9	Re5b3	D5b4	324	323	1	8	294	99	96		5.666667
33	9	Re5b3	D5b4	324	323	1	4	588	99	96		5.833333
34	9	Do5	C5	318	318	1	4	588	95	96		6
35	53			0	0	0	0	0	0	0		6
36	9	Do5	C5	318	318	1	4	588	95	96	ne 	6.166667
37	9	Re5b3	D5b4	324	323	1	4	588	95	96	za	6.333333
38	9	Do5	C5	318	318	1	8	294	99	96	man	6.416667
39	9	Si4b2	B4b1	312	313	1	8	294	99	96		6.5
40	9	La4	A4	305	305	1	2	1176	99	96		6.833333
41	9	Si4b2	B4b1	312	313	1	8	294	99	96		6.916667
42	9	Do5	C5	318	318	1	8	294	95	96		7
43	9	Si4b2	B4b1	312	313	1	4	588	99	96	dýr  	7.166667
44	9	Do5	C5	318	318	1	1	2352	95	96		7.833333
45	9			-1	-1	1	4	588	100	0		8
46	53			0	0	0	0	0	0	0		8
