Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	MS	LNS	VelOn	Soz1
1	9	Sol5	G5	349	349	1	4	1500	99	96	
2	9	La5	A5	358	358	1	4	1500	99	96	
3	9	La5	A5	358	358	1	4	1500	95	96	
4	9	La5	A5	358	358	1	4	1500	95	96	
5	9	Sol5	G5	349	349	1	4	1500	95	96	
6	9	Fa5#4	F5#4	344	344	1	4	1500	95	96	
7	9	Sol5	G5	349	349	1	8	750	99	96	
8	9	La5	A5	358	358	1	8	750	99	96	
9	9	Sol5	G5	349	349	1	8	750	99	96	
10	9	La5	A5	358	358	1	8	750	95	96	
11	9	La5	A5	358	358	1	2	3000	95	96	
12	9	La5	A5	358	358	3	8	2250	95	96	
13	9	Es	Es			1	8	750	95	96	
13.5	53										
14	9			-1	-1	1	8	750	95	96	
15	9	La5	A5	358	358	1	4	1500	99	96	
16	9	Si5b1	B5b1	366	366	1	8	750	99	96	
17	9	Si5b1	B5b1	366	366	1	8	750	99	96	
18	9	La5	A5	358	358	1	8	750	99	96	
19	9	Sol5	G5	349	349	1	8	750	99	96	
20	9	Fa5#4	F5#4	344	344	1	8	750	99	96	
21	9	Sol5	G5	349	349	1	4	1500	95	96	
22	9	La5	A5	358	358	1	8	750	99	96	
23	9	Sol5	G5	349	349	1	8	750	99	96	
24	9	La5	A5	358	358	1	4	1500	99	96	
25	9	Si5b1	B5b1	366	366	1	4	1500	95	96	
25.5	53										
26	9			-1	-1	1	8	750	95	96	
27	9	Do6	C6	371	371	1	4	1500	99	96	
28	9	Re6	D6	380	380	1	8	750	99	96	
29	9	Do6	C6	371	371	1	4	1500	99	96	
30	9	Si5b1	B5b1	366	366	1	4	1500	99	96	
31	9	La5	A5	358	358	1	2	3000	99	96	
32	9	Si5b1	B5b1	366	366	1	8	750	99	96	
33	9	Do6	C6	371	371	1	8	750	99	96	
34	9	Si5b1	B5b1	366	366	1	4	1500	95	96	
34.5	53										
35	9	Do6	C6	371	371	1	8	750	99	96	
36	9	Re6	D6	380	380	1	8	750	99	96	
37	9	Do6	C6	371	371	1	8	750	99	96	
38	9	Si5b1	B5b1	366	366	1	8	750	95	96	
39	8	Re6	D6	380	380	1	8	94	95	96	
40	9	Do6	C6	371	371	1	8	750	99	96	
41	9	Si5b1	B5b1	366	366	1	8	750	99	96	
42	9	Do6	C6	371	371	1	4	1500	95	96	
42.5	53										
43	9			-1	-1	1	4	1500	95	96	
44	9	Si5b1	B5b1	366	366	1	8	750	99	96	
45	9	Do6	C6	371	371	1	8	750	99	96	
46	9	Re6	D6	380	380	1	4	1500	99	96	
47	9	Do6	C6	371	371	1	4	1500	99	96	
48	9	Si5b1	B5b1	366	366	1	4	1500	99	96	
49	8	Re6	D6	380	380	1	8	94	99	96	
50	9	Do6	C6	371	371	1	8	750	99	96	
51	9	Si5b1	B5b1	366	366	1	8	750	99	96	
52	9	La5	A5	358	358	1	4	1500	95	96	
53	9	La5	A5	358	358	1	4	1500	95	96	
53.5	53										
54	9	Sol5	G5	349	349	1	4	1500	99	96	
55	9	La5	A5	358	358	1	4	1500	99	96	
56	9	La5	A5	358	358	1	2	3000	99	96	
57	8	La5	A5	358	358	1	8	94	99	96	
58	9	Sol5	G5	349	349	3	16	1125	99	96	
59	9	Fa5#4	F5#4	344	344	1	16	375	99	96	
60	9	Sol5	G5	349	349	1	8	750	99	96	
61	9	La5	A5	358	358	1	8	750	99	96	
62	9	Sol5	G5	349	349	1	8	750	99	96	
63	8	Si5b1	B5b1	366	366	1	8	94	99	96	
64	9	La5	A5	358	358	1	8	750	99	96	
65	9	Sol5	G5	349	349	1	8	750	99	96	
66	9	Fa5#4	F5#4	344	344	1	8	750	99	96	
67	9	Sol5	G5	349	349	1	8	750	99	96	
68	9	Do6	C6	371	371	1	8	750	99	96	
69	9	Si5b1	B5b1	366	366	1	8	750	99	96	
70	9	La5	A5	358	358	1	8	750	99	96	
71	9	Si5b1	B5b1	366	366	1	8	750	99	96	
72	9	La5	A5	358	358	1	8	750	99	96	
73	9	Sol5	G5	349	349	1	8	750	95	96	
74	9	Fa5#4	F5#4	344	344	1	8	750	95	96	
75	9	Mi5	E5	336	336	1	8	750	99	96	
76	9	Fa5	F5	340	340	1	8	750	99	96	
77	9	Mi5	E5	336	336	1	8	750	99	96	
78	9	Re5	D5	327	327	1	8	750	95	96	
78.5	53										
79	9	Es	Es			1	8	750	95	96	
80	9	La5	A5	358	358	1	16	375	99	96	
81	9	Sol5	G5	349	349	1	16	375	99	96	
82	9	Fa5	F5	340	340	1	8	750	95	96	
83	9	Sol5	G5	349	349	1	8	750	95	96	
84	9	La5	A5	358	358	1	2	3000	95	96	
85	9	La5	A5	358	358	3	8	2250	95	96	
86	9	Es	Es			1	8	750	95	96	
86.5	53										
87	9			-1	-1	1	8	750	95	96	
88	9	La5	A5	358	358	1	4	1500	99	96	
89	9	Si5b1	B5b1	366	366	1	8	750	99	96	
90	9	Si5b1	B5b1	366	366	1	8	750	99	96	
91	9	La5	A5	358	358	1	8	750	99	96	
92	9	Sol5	G5	349	349	1	8	750	99	96	
93	9	Fa5#4	F5#4	344	344	1	8	750	99	96	
94	9	Sol5	G5	349	349	1	4	1500	95	96	
95	9	La5	A5	358	358	1	8	750	99	96	
96	9	Sol5	G5	349	349	1	8	750	99	96	
97	9	La5	A5	358	358	1	4	1500	99	96	
98	9	Si5b1	B5b1	366	366	1	4	1500	95	96	
98.5	53										
99	9			-1	-1	1	8	750	95	96	
100	9	Do6	C6	371	371	1	4	1500	99	96	
101	9	Re6	D6	380	380	1	8	750	99	96	
102	9	Do6	C6	371	371	1	4	1500	99	96	
103	9	Si5b1	B5b1	366	366	1	4	1500	99	96	
104	9	La5	A5	358	358	1	2	3000	99	96	
105	9	Si5b1	B5b1	366	366	1	8	750	99	96	
106	9	Do6	C6	371	371	1	8	750	99	96	
107	9	Si5b1	B5b1	366	366	1	4	1500	95	96	
107.5	53										
108	9	Do6	C6	371	371	1	8	750	99	96	
109	9	Re6	D6	380	380	1	8	750	99	96	
110	9	Do6	C6	371	371	1	8	750	99	96	
111	9	Si5b1	B5b1	366	366	1	8	750	95	96	
112	8	Re6	D6	380	380	1	8	94	95	96	
113	9	Do6	C6	371	371	1	8	750	99	96	
114	9	Si5b1	B5b1	366	366	1	8	750	99	96	
115	9	Do6	C6	371	371	1	4	1500	95	96	
115.5	53										
116	9			-1	-1	1	4	1500	95	96	
117	9	Si5b1	B5b1	366	366	1	8	750	99	96	
118	9	Do6	C6	371	371	1	8	750	99	96	
119	9	Re6	D6	380	380	1	4	1500	99	96	
120	9	Do6	C6	371	371	1	4	1500	99	96	
121	9	Si5b1	B5b1	366	366	1	4	1500	99	96	
122	8	Re6	D6	380	380	1	8	94	99	96	
123	9	Do6	C6	371	371	1	8	750	99	96	
124	9	Si5b1	B5b1	366	366	1	8	750	99	96	
125	9	La5	A5	358	358	1	4	1500	95	96	
126	9	La5	A5	358	358	1	4	1500	95	96	
126.5	53										
127	9	Sol5	G5	349	349	1	4	1500	99	96	
128	9	La5	A5	358	358	1	4	1500	99	96	
129	9	La5	A5	358	358	1	2	3000	99	96	
130	9	La5	A5	358	358	1	8	750	99	96	
131	9	Sol5	G5	349	349	3	16	1125	99	96	
132	9	Fa5#4	F5#4	344	344	1	16	375	99	96	
133	9	Sol5	G5	349	349	1	8	750	99	96	
134	9	La5	A5	358	358	1	8	750	99	96	
135	9	Sol5	G5	349	349	1	8	750	99	96	
136	8	Si5b1	B5b1	366	366	1	8	94	99	96	
137	9	La5	A5	358	358	1	8	750	99	96	
138	9	Sol5	G5	349	349	1	8	750	99	96	
139	9	Fa5#4	F5#4	344	344	1	8	750	99	96	
139.5	53										
140	9	Sol5	G5	349	349	1	8	750	99	96	
141	9	Do6	C6	371	371	1	8	750	99	96	
142	9	Si5b1	B5b1	366	366	1	8	750	99	96	
143	9	La5	A5	358	358	1	8	750	99	96	
144	9	Si5b1	B5b1	366	366	1	8	750	99	96	
145	9	La5	A5	358	358	1	8	750	99	96	
146	9	Sol5	G5	349	349	1	8	750	95	96	
147	9	Fa5#4	F5#4	344	344	1	8	750	95	96	
148	9	Mi5	E5	336	336	1	8	750	99	96	
149	9	Fa5	F5	340	340	1	8	750	99	96	
