Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	MS	LNS	VelOn	Soz1
1	9	La4	A4	305	305	1	4	455	95	96	
2	9	Fa4#4	F4#4	291	291	1	8	227	95	96	
3	9	Sol4	G4	296	296	1	8	227	95	96	
4	9	La4	A4	305	305	1	4	455	95	96	
5	9	Re5	D5	327	327	1	4	455	95	96	
6	9	Si4b1	B4b1	313	313	1	8	227	95	96	
7	9	Do5	C5	318	318	1	8	227	95	96	
8	9	Do5	C5	318	318	1	16	114	95	96	
9	9	Si4b1	B4b1	313	313	1	16	114	95	96	
10	9	Si4b1	B4b1	313	313	1	16	114	95	96	
11	9	La4	A4	305	305	1	16	114	95	96	
12	9	La4	A4	305	305	1	16	114	95	96	
13	9	Sol4	G4	296	296	1	16	114	95	96	
14	9	La4	A4	305	305	1	4	455	95	96	
15	9	Re5	D5	327	327	1	4	455	95	96	)
15.5	53										
16	9	Si4b1	B4b1	313	313	1	8	227	95	96	
17	9	Do5	C5	318	318	1	8	227	95	96	
18	9	Do5	C5	318	318	1	16	114	95	96	
19	9	Si4b1	B4b1	313	313	1	16	114	95	96	
20	9	Si4b1	B4b1	313	313	1	16	114	95	96	
21	9	La4	A4	305	305	1	16	114	95	96	
22	9	La4	A4	305	305	1	16	114	95	96	
23	9	Sol4	G4	296	296	1	16	114	95	96	
24	9	La4	A4	305	305	1	8	227	95	96	
25	9	Si4b1	B4b1	313	313	1	8	227	95	96	
26	9	Do5	C5	318	318	1	16	114	95	96	
27	9	Re5	D5	327	327	1	16	114	95	96	
28	9	Do5	C5	318	318	1	16	114	95	96	
29	9	Si4b1	B4b1	313	313	1	16	114	95	96	
30	9	Si4b1	B4b1	313	313	1	16	114	95	96	
31	9	La4	A4	305	305	1	16	114	95	96	
32	9	La4	A4	305	305	1	16	114	95	96	
33	9	Sol4	G4	296	296	1	16	114	95	96	
34	9	Fa4#4	F4#4	291	291	1	16	114	95	96	
35	9	Mi4	E4	283	283	1	16	114	95	96	
36	9	Re4	D4	274	274	1	16	114	95	96	
37	9	Mi4	E4	283	283	1	16	114	95	96	
38	9	Fa4#4	F4#4	291	291	1	16	114	95	96	
