Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	MS	LNS	VelOn	Soz1
1	9	La4	A4	305	305	3	8	750	95	96	
2	9	Do5	C5	318	318	1	16	125	95	96	
3	9	Re5	D5	327	327	1	16	125	95	96	
4	9	Mi5	E5	336	336	1	4	500	95	96	
4.5	53										
5	9	Re5	D5	327	327	1	8	250	95	96	
6	9	Re5	D5	327	327	1	8	250	95	96	
7	9	Mi5	E5	336	336	1	8	250	95	96	
8	9	Mi5	E5	336	336	1	8	250	95	96	
9	9	Mi5	E5	336	336	3	16	375	95	96	
10	9	Re5	D5	327	327	1	16	125	95	96	
10.5	53										
11	9	Mi5	E5	336	336	1	8	250	95	96	
12	9	Fa5	F5	340	340	1	8	250	95	96	
13	9	Sol5	G5	349	349	1	8	250	95	96	
14	9	Mi5	E5	336	336	1	8	250	95	96	
15	9	Mi5	E5	336	336	3	16	375	95	96	
16	9	Re5	D5	327	327	1	16	125	95	96	
16.5	53										
17	9	Re5	D5	327	327	3	16	375	95	96	
18	9	Do5	C5	318	318	1	16	125	95	96	
19	9	Mi5	E5	336	336	1	16	125	95	96	
20	9	Fa5	F5	340	340	1	16	125	95	96	
21	9	Mi5	E5	336	336	1	16	125	95	96	
22	9	Re5	D5	327	327	1	16	125	95	96	
23	9	Re5	D5	327	327	1	16	125	95	96	
24	9	Do5	C5	318	318	1	16	125	95	96	
25	9	Si4b1	B4b1	313	313	1	32	63	95	96	
26	9	La4	A4	305	305	1	32	63	95	96	
27	9	Si4b1	B4b1	313	313	1	16	125	95	96	
28	9	Do5	C5	318	318	1	4	500	95	96	
28.5	53										
29	9	Re5	D5	327	327	1	8	250	95	96	
30	9	Re5	D5	327	327	1	32	63	95	96	
31	9	Do5	C5	318	318	1	32	63	95	96	
32	9	Si4b1	B4b1	313	313	1	32	63	95	96	
33	9	La4	A4	305	305	1	32	63	95	96	
34	9	Si4b1	B4b1	313	313	1	8	250	95	96	
35	9	Es	Es			1	8	250	95	96	
35.5	53										
36	9	Sol4	G4	296	296	1	8	250	95	96	
37	9	Mi5	E5	336	336	1	16	125	95	96	
38	9	Fa5	F5	340	340	1	16	125	95	96	
39	9	Mi5	E5	336	336	1	16	125	95	96	
40	9	Re5	D5	327	327	1	16	125	95	96	
41	9	Re5	D5	327	327	1	16	125	95	96	
42	9	Do5	C5	318	318	1	16	125	95	96	
43	9	Re5	D5	327	327	1	4	500	95	96	
43.5	53										
44	9	Do5	C5	318	318	1	8	250	95	96	
45	9	Re5	D5	327	327	1	8	250	95	96	
46	9	Mi5	E5	336	336	1	16	125	95	96	
47	9	Fa5	F5	340	340	1	16	125	95	96	
48	9	Mi5	E5	336	336	1	16	125	95	96	
49	9	Re5	D5	327	327	1	16	125	95	96	
50	9	Re5	D5	327	327	1	4	500	95	96	
50.5	53										
51	9	Do5	C5	318	318	1	8	250	95	96	
52	9	Re5	D5	327	327	1	8	250	95	96	
53	9	Mi5	E5	336	336	1	16	125	95	96	
54	9	Fa5	F5	340	340	1	16	125	95	96	
55	9	Mi5	E5	336	336	1	16	125	95	96	
56	9	Re5	D5	327	327	1	16	125	95	96	
57	9	Re5	D5	327	327	1	16	125	95	96	
58	9	Do5	C5	318	318	1	16	125	95	96	
59	9	Si4b1	B4b1	313	313	1	32	63	95	96	
60	9	La4	A4	305	305	1	32	63	95	96	
61	9	Si4b1	B4b1	313	313	1	16	125	95	96	
62	9	Do5	C5	318	318	1	4	500	95	96	
62.5	53										
63	9	Re5	D5	327	327	1	8	250	95	96	
64	9	Re5	D5	327	327	1	32	63	95	96	
65	9	Do5	C5	318	318	1	32	63	95	96	
66	9	Si4b1	B4b1	313	313	1	32	63	95	96	
67	9	La4	A4	305	305	1	32	63	95	96	
68	9	Si4b1	B4b1	313	313	1	8	250	95	96	
69	9	Es	Es			1	8	250	95	96	
69.5	53										
70	9	Sol4	G4	296	296	1	8	250	95	96	
71	9	Sol4	G4	296	296	1	8	250	95	96	
72	9	La4	A4	305	305	1	8	250	95	96	
73	9	Si4b1	B4b1	313	313	1	8	250	95	96	
74	9	Do5	C5	318	318	1	8	250	95	96	
75	9	Si4b1	B4b1	313	313	1	16	125	95	96	
76	9	La4	A4	305	305	1	16	125	95	96	
77	9	La4	A4	305	305	1	8	250	95	96	
78	9	Sol4	G4	296	296	1	8	250	95	96	
79	9	Sol4	G4	296	296	1	16	125	95	96	
80	9	Fa5	F5	340	340	1	16	125	95	96	
81	9	Mi5	E5	336	336	1	16	125	95	96	
82	9	Re5	D5	327	327	1	16	125	95	96	
83	9	Re5	D5	327	327	1	16	125	95	96	
84	9	Do5	C5	318	318	1	16	125	95	96	
85	9	Do5	C5	318	318	1	16	125	95	96	
86	9	Si4b1	B4b1	313	313	1	16	125	95	96	
86.5	53										
87	9	La4	A4	305	305	1	8	250	95	96	
88	9	Si4b1	B4b1	313	313	1	8	250	95	96	
89	9	Re5	D5	327	327	1	8	250	95	96	
90	9	Do5	C5	318	318	1	16	125	95	96	
91	9	Si4b1	B4b1	313	313	1	16	125	95	96	
92	9	Si4b1	B4b1	313	313	3	16	375	95	96	
93	9	La4	A4	305	305	1	16	125	95	96	
94	9	La4	A4	305	305	1	2	1000	95	96	
95	9	Es	Es			1	4	500	95	96	
95.5	53										
96	9	Fa4#4	F4#4	291	291	1	8	250	95	96	
97	9	Sol4	G4	296	296	1	8	250	95	96	
98	9	La4	A4	305	305	1	8	250	95	96	
99	9	La4	A4	305	305	1	8	250	95	96	
100	9	La4	A4	305	305	1	4	500	95	96	
100.5	53										
101	9	Si4b1	B4b1	313	313	1	16	125	99	96	
102	9	La4	A4	305	305	1	16	125	95	96	
103	9	Si4b1	B4b1	313	313	1	8	250	99	96	
104	9	Do5	C5	318	318	1	8	250	95	96	
105	9	Si4b1	B4b1	313	313	1	16	125	99	96	
106	9	La4	A4	305	305	1	16	125	95	96	
107	9	La4	A4	305	305	1	4	500	95	96	
107.5	53										
108	9	Sol4	G4	296	296	1	4	500	95	96	
109	9	Mi5	E5	336	336	1	16	125	99	96	
110	9	Re5	D5	327	327	1	16	125	95	96	
111	9	Re5	D5	327	327	1	16	125	99	96	
112	9	Do5	C5	318	318	1	16	125	95	96	
113	9	Do5	C5	318	318	1	16	125	99	96	
114	9	Si4b1	B4b1	313	313	1	16	125	99	96	
115	9	La4	A4	305	305	1	16	125	99	96	
116	9	Si4b1	B4b1	313	313	1	16	125	95	96	
117	9	Do5	C5	318	318	1	4	500	99	96	
117.5	53										
118	9	Re5	D5	327	327	1	8	250	95	96	
119	9	Re5	D5	327	327	1	32	63	95	96	
120	9	Do5	C5	318	318	1	32	63	95	96	
121	9	Si4b1	B4b1	313	313	1	32	63	95	96	
122	9	La4	A4	305	305	1	32	63	95	96	
123	9	Si4b1	B4b1	313	313	1	8	250	95	96	
124	9	Es	Es			1	8	250	95	96	
124.5	53										
125	9	Do5	C5	318	318	1	8	250	95	96	
126	9	Re5	D5	327	327	1	8	250	95	96	
127	9	Re5	D5	327	327	1	8	250	95	96	
128	9	Re5	D5	327	327	1	16	125	99	96	
129	9	Do5	C5	318	318	1	16	125	95	96	
130	9	Re5	D5	327	327	1	4	500	95	96	
130.5	53										
131	9	Do5	C5	318	318	1	8	250	99	96	
132	9	Re5	D5	327	327	1	8	250	95	96	
133	9	Mi5	E5	336	336	1	16	125	99	96	
134	9	Fa5	F5	340	340	1	16	125	95	96	
135	9	Mi5	E5	336	336	1	16	125	99	96	
136	9	Re5	D5	327	327	1	16	125	95	96	
137	9	Re5	D5	327	327	1	16	125	99	96	
138	9	Do5	C5	318	318	1	16	125	99	96	
139	9	Si4b1	B4b1	313	313	1	32	63	99	96	
140	9	La4	A4	305	305	1	32	63	99	96	
141	9	Si4b1	B4b1	313	313	1	16	125	95	96	
141.5	53										
142	9	Re5	D5	327	327	1	8	250	99	96	
143	9	Do5	C5	318	318	1	8	250	99	96	
144	9	Re5	D5	327	327	1	16	125	99	96	
145	9	Mi5	E5	336	336	1	16	125	99	96	
146	9	Re5	D5	327	327	1	16	125	99	96	
147	9	Do5	C5	318	318	1	16	125	99	96	
148	9	Si4b1	B4b1	313	313	1	16	125	99	96	
149	9	La4	A4	305	305	1	16	125	99	96	
