Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	MS	LNS	VelOn	Soz1
1	9	Si4b1	B4b1	313	313	1	4	435	95	96	
2	9	Mi5b4	E5b4	332	332	1	16	109	95	96	
3	9	Mi5b4	E5b4	332	332	1	16	109	95	96	
4	9	Mi5b4	E5b4	332	332	1	8	217	95	96	
5	9	Re5	D5	327	327	1	8	217	95	96	
6	9	Re5	D5	327	327	1	8	217	95	96	
7	9	Do5	C5	318	318	1	8	217	95	96	
8	9	Si4b1	B4b1	313	313	1	4	435	95	96	
9	9	Do5	C5	318	318	1	8	217	95	96	
10	9	Re5	D5	327	327	1	4	435	95	96	
10.5	53										
11	9	Mi5b4	E5b4	332	332	1	16	109	95	96	
12	9	Fa5#4	F5#4	344	344	1	16	109	95	96	
13	9	Mi5b4	E5b4	332	332	1	8	217	95	96	
14	9	Re5	D5	327	327	1	8	217	95	96	
15	9	Re5	D5	327	327	1	8	217	95	96	
16	9	Do5	C5	318	318	1	8	217	95	96	
17	9	Si4b1	B4b1	313	313	1	4	435	95	96	
17.5	53										
18	9	Do5	C5	318	318	1	16	109	95	96	
19	9	Re5	D5	327	327	1	16	109	95	96	
20	9	Do5	C5	318	318	1	4	435	95	96	
21	9	Do5	C5	318	318	1	16	109	95	96	
22	9	Do5	C5	318	318	1	16	109	95	96	
23	9	Do5	C5	318	318	1	4	435	95	96	
24	9	Do5	C5	318	318	1	8	217	95	96	
25	9	Si4b1	B4b1	313	313	1	8	217	95	96	
26	9	Re5	D5	327	327	1	4	435	95	96	
27	9	Do5	C5	318	318	1	8	217	95	96	
28	9	Si4b1	B4b1	313	313	1	4	435	95	96	
28.5	53										
29	9	Si4b1	B4b1	313	313	1	16	109	95	96	
30	9	Si4b1	B4b1	313	313	1	16	109	95	96	
31	9	Si4b1	B4b1	313	313	1	4	435	50	96	
32	9	Si4b1	B4b1	313	313	1	8	217	95	96	
33	9	La4	A4	305	305	1	8	217	95	96	
34	9	Si4b1	B4b1	313	313	1	4	435	95	96	
34.5	53										
35	9	Do5	C5	318	318	1	16	109	95	96	
