Sıra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Fa5#5	F5#5	345	345	3	8	1154	95	96	1. HANE	0.375
2	9	Si5	B5	367	367	1	24	128	95	96		0.4166667
3	9	La5	A5	358	358	1	24	128	95	96		0.4583333
4	9	Sol5	G5	349	349	1	24	128	95	96		0.5
5	9	Sol5	G5	349	349	1	2	1538	95	96		1
6	53			0	0	0	0	0	0	0		1
7	9	Sol5	G5	349	349	1	4	769	95	96		1.25
8	9	La5	A5	358	358	1	8	385	95	96		1.375
9	9	Si5	B5	367	367	1	8	385	95	96		1.5
10	9	La5	A5	358	358	1	4	769	95	96		1.75
11	9	Sol5	G5	349	349	1	4	769	95	96		2
12	53			0	0	0	0	0	0	0		2
13	9	La5	A5	358	358	1	16	192	95	96		2.0625
14	9	Sol5	G5	349	349	1	16	192	95	96		2.125
15	9	Fa5#5	F5#5	345	345	1	16	192	95	96		2.1875
16	9	Mi5	E5	336	336	1	16	192	95	96		2.25
17	9	Fa5#5	F5#5	345	345	1	8	385	95	96		2.375
18	9	Sol5	G5	349	349	1	8	385	95	96		2.5
19	9	Fa5#5	F5#5	345	345	1	8	385	95	96		2.625
20	8	La5	A5	358	358	0	0	0	95	96		2.625
21	9	Sol5	G5	349	349	1	16	192	95	96		2.6875
22	9	Fa5#5	F5#5	345	345	1	16	192	95	96		2.75
23	9	Mi5	E5	336	336	1	4	769	95	96		3
24	53			0	0	0	0	0	0	0		3
25	9			-1	-1	1	8	385	100	0		3.125
26	9	Sol5	G5	349	349	1	8	385	95	96		3.25
27	9	Fa5#5	F5#5	345	345	1	8	385	95	96		3.375
28	9	Mi5	E5	336	336	1	8	385	95	96		3.5
29	9	La5	A5	358	358	1	4	769	95	96		3.75
30	9	Sol5	G5	349	349	1	8	385	95	96		3.875
31	9	Fa5#5	F5#5	345	345	1	8	385	95	96		4
32	9	Mi5	E5	336	336	1	16	192	95	96		4.0625
33	9	Fa5#5	F5#5	345	345	1	16	192	95	96		4.125
34	9	Sol5	G5	349	349	1	4	769	95	96		4.375
35	9	Fa5	F5	340	340	1	16	192	95	96		4.4375
36	9	Mi5	E5	336	336	1	16	192	95	96		4.5
37	9	Mi5	E5	336	336	3	16	577	95	96		4.6875
38	9	Re5	D5	327	327	1	16	192	95	96		4.75
39	9	Fa5#5	F5#5	345	345	1	16	192	95	96		4.8125
40	9	Mi5	E5	336	336	1	16	192	95	96		4.875
41	9	Re5	D5	327	327	1	16	192	95	96		4.9375
42	9	Do5#4	C5#4	322	322	1	16	192	95	96		5
43	9	Re5	D5	327	327	1	4	769	95	96		5.25
44	53			0	0	0	0	0	0	0		5.25
45	9	Mi5	E5	336	336	1	8	385	95	96		5.375
46	9	Fa5#5	F5#5	345	345	1	8	385	95	96		5.5
47	9	Sol5	G5	349	349	1	8	385	95	96		5.625
48	9	La5	A5	358	358	1	8	385	95	96		5.75
49	9	Sol5	G5	349	349	1	8	385	95	96		5.875
50	9	Si5	B5	367	367	1	8	385	95	96		6
51	9	La5	A5	358	358	3	16	577	95	96		6.1875
52	9	Sol5	G5	349	349	1	16	192	95	96		6.25
