Sıra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	2	1667	100	0		0.2222222
2	9			-1	-1	1	8	417	100	0		0.2777778
3	9	Fa5	F5	340	340	1	8	417	99	96	Gon	0.3333333
4	9	Mi5	E5	336	336	1	8	417	95	96		0.3888889
5	9	Re5	D5	327	327	1	8	417	95	96	ca	0.4444444
6	9	Do5	C5	318	318	1	4	833	99	96	sın	0.5555556
7	9	Fa5	F5	340	340	1	8	417	99	96		0.6111111
8	9	Sol5	G5	349	349	1	8	417	95	96		0.6666667
9	9	La5	A5	358	358	3	8	1250	99	96	dan 	0.8333333
10	9	Sol5	G5	349	349	1	8	417	99	96		0.8888889
11	8	Re6	D6	380	380	0	0	0	99	96		0.8888889
12	9	Do6	C6	371	371	1	8	417	99	96		0.9444444
13	9	Si5b5	B5b5	362	362	1	16	208	99	96		0.9722222
14	11	La5	A5	358	358	1	16	208	99	96		1
15	9	La5	A5	358	358	1	2	1667	95	96		1.222222
16	53			0	0	0	0	0	0	0		1.222222
17	9			-1	-1	1	8	417	100	0		1.277778
18	54			0	0	0	0	0	0	0	buselik@re5	1.277778
19	9	Si5b5	B5b5	362	362	1	8	417	99	96	gül	1.333333
20	9	La5	A5	358	358	1	8	417	95	96		1.388889
21	9	Sol5	G5	349	349	1	8	417	95	96	şe	1.444444
22	9	Fa5	F5	340	340	1	8	417	99	96	nin 	1.5
23	9	Mi5	E5	336	336	1	8	417	99	96		1.555556
24	9	Re5	D5	327	327	1	8	417	99	96		1.611111
25	9	Do5#4	C5#4	322	322	1	8	417	95	96		1.666667
26	9	Re5	D5	327	327	1	4	833	99	96	bül	1.777778
27	9	Mi5	E5	336	336	1	4	833	99	96		1.888889
28	9	Fa5	F5	340	340	1	4	833	99	96		2
29	9	Sol5	G5	349	349	1	8	417	99	96		2.055556
30	8	Si5b5	B5b5	362	362	0	0	0	99	96		2.055556
31	9	La5	A5	358	358	1	16	208	99	96		2.083333
32	9	Sol5	G5	349	349	1	16	208	99	96		2.111111
33	9	Sol5	G5	349	349	1	16	208	99	96		2.138889
34	9	Fa5	F5	340	340	1	16	208	99	96		2.166667
35	9	Mi5	E5	336	336	1	16	208	99	96		2.194444
36	9	Re5	D5	327	327	1	16	208	99	96		2.222222
37	9	Do5	C5	318	318	1	8	417	95	96		2.277778
38	53			0	0	0	0	0	0	0		2.277778
39	55			0	0	0	0	0	0	0		2.277778
40	9	Do5	C5	318	318	1	4	833	95	96	bül 	2.388889
41	9	Re5	D5	327	327	1	8	417	95	96	şi	2.444444
42	9	Mi5	E5	336	336	1	8	417	99	96	kâ	2.5
43	9	Fa5	F5	340	340	1	8	417	99	96		2.555556
44	9	Sol5	G5	349	349	1	8	417	99	96		2.611111
45	9	La5	A5	358	358	1	8	417	95	96		2.666667
46	9	Do6	C6	371	371	1	8	417	99	96	yet 	2.722222
47	9	Si5b5	B5b5	362	362	1	8	417	99	96		2.777778
48	9	La5	A5	358	358	1	8	417	99	96		2.833333
49	9	Sol5	G5	349	349	1	8	417	99	96		2.888889
50	9	Fa5	F5	340	340	1	8	417	99	96		2.944444
51	9	Mi5	E5	336	336	1	8	417	99	96		3
52	9	Fa5	F5	340	340	1	16	208	99	96		3.027778
53	9	Mi5	E5	336	336	1	16	208	99	96		3.055556
54	9	Fa5	F5	340	340	1	16	208	99	96		3.083333
55	9	La5	A5	358	358	1	16	208	99	96		3.111111
56	9	Sol5	G5	349	349	1	16	208	99	96		3.138889
57	9	Fa5	F5	340	340	1	16	208	99	96		3.166667
58	9	Mi5	E5	336	336	1	16	208	99	96		3.194444
59	9	Re5	D5	327	327	1	16	208	99	96		3.222222
60	9	Do5	C5	318	318	1	8	417	95	96		3.277778
61	53			0	0	0	0	0	0	0		3.277778
62	9	Do5	C5	318	318	1	4	833	99	96	ey	3.388889
63	9	La5	A5	358	358	1	8	417	99	96		3.444444
64	9	Sol5	G5	349	349	1	8	417	99	96		3.5
65	9	Fa5	F5	340	340	1	8	417	99	96		3.555556
66	9	Mi5	E5	336	336	1	8	417	95	96		3.611111
67	8	La5	A5	358	358	0	0	0	95	96		3.611111
68	9	Sol5	G5	349	349	1	16	208	99	96	le	3.638889
69	11	Fa5	F5	340	340	1	16	208	95	96		3.666667
70	9	Fa5	F5	340	340	3	8	1250	95	96	di  	3.833333
71	9	Sol5	G5	349	349	1	8	417	95	96	SAZ 	3.888889
72	9	La5	A5	358	358	1	16	208	95	96	.	3.916667
73	9	Sol5	G5	349	349	1	16	208	95	96	.	3.944444
